Time,ERROR
0.0,-2.3841858E-7
1.0,-8.983612E-4
2.0,-8.869171E-5
3.0,-4.6610832E-4
4.0,-5.722046E-5
5.0,-0.0017802715
6.0,-7.464886E-4
7.0,-3.643036E-4
8.0,-4.181862E-4
9.0,-7.710457E-4
10.0,-6.005764E-4
11.0,-2.4819374E-4
12.0,-4.646778E-4
13.0,-8.819103E-4
14.0,-5.097389E-4
15.0,-3.0231476E-4
16.0,-5.607605E-4
17.0,-7.786751E-4
18.0,-3.5119057E-4
19.0,-4.0602684E-4
20.0,-8.5139275E-4
21.0,-5.1140785E-4
22.0,-3.194809E-4
23.0,-5.464554E-4
24.0,-6.16312E-4
25.0,-3.4332275E-4
26.0,-5.338192E-4
27.0,-7.817745E-4
28.0,-4.3988228E-4
29.0,-3.3831596E-4
30.0,-6.0772896E-4
